record_id_a,person_id,record_id_b
A0001,1,B0001
A0002,3,B0003
A0003,4,B0004
A0004,7,B0007
A0005,8,B0008
A0006,9,B0009
A0007,10,B0010
A0009,12,B0011
A0010,13,B0012
A0012,15,B0013
A0013,16,B0014
A0017,20,B0015
A0018,22,B0017
A0019,23,B0018
A0020,24,B0019
A0021,26,B0021
A0023,28,B0022
A0024,31,B0025
A0025,32,B0026
A0026,33,B0027
A0029,36,B0028
A0030,37,B0029
A0031,38,B0030
A0032,40,B0032
A0033,41,B0033
A0034,42,B0034
A0035,43,B0035
A0036,44,B0036
A0037,45,B0037
A0038,46,B0038
A0039,47,B0039
A0040,48,B0040
A0041,49,B0041
A0043,52,B0043
A0044,53,B0044
A0045,55,B0046
A0046,56,B0047
A0048,58,B0048
A0049,59,B0049
A0050,60,B0050
A0051,61,B0051
A0053,63,B0052
A0054,64,B0053
A0055,66,B0055
A0057,68,B0056
A0058,69,B0057
A0059,70,B0058
A0060,71,B0059
A0061,72,B0060
A0062,73,B0061
A0063,74,B0062
A0064,75,B0063
A0065,76,B0064
A0066,78,B0066
A0067,79,B0067
A0068,81,B0069
A0069,82,B0070
A0070,83,B0071
A0071,84,B0072
A0074,87,B0073
A0075,88,B0074
A0077,90,B0075
A0078,91,B0076
A0079,92,B0077
A0080,94,B0079
A0081,95,B0080
A0082,96,B0081
A0083,97,B0082
A0084,98,B0083
A0085,99,B0084
A0086,100,B0085
A0087,101,B0086
A0088,102,B0087
A0089,103,B0088
A0090,104,B0089
A0091,105,B0090
A0092,106,B0091
A0093,107,B0092
A0094,108,B0093
A0095,109,B0094
A0096,110,B0095
A0097,111,B0096
A0098,112,B0097
A0099,113,B0098
A0101,115,B0099
A0102,116,B0100
A0103,117,B0101
A0104,118,B0102
A0105,119,B0103
A0107,121,B0104
A0108,123,B0106
A0109,124,B0107
A0110,125,B0108
A0111,126,B0109
A0112,127,B0110
A0113,128,B0111
A0114,129,B0112
A0116,131,B0113
A0117,132,B0114
A0118,133,B0115
A0119,134,B0116
A0120,135,B0117
A0121,136,B0118
A0122,138,B0120
A0123,140,B0122
A0124,141,B0123
A0125,142,B0124
A0126,143,B0125
A0127,144,B0126
A0128,146,B0128
A0129,147,B0129
A0131,152,B0133
A0132,153,B0134
A0133,154,B0135
A0134,155,B0136
A0135,156,B0137
A0136,157,B0138
A0137,159,B0140
A0138,160,B0141
A0139,161,B0142
A0140,162,B0143
A0141,163,B0144
A0142,164,B0145
A0143,165,B0146
A0144,166,B0147
A0145,167,B0148
A0146,168,B0149
A0147,169,B0150
A0148,170,B0151
A0149,171,B0152
A0150,172,B0153
A0153,176,B0155
A0154,177,B0156
A0156,180,B0158
A0157,182,B0160
A0158,183,B0161
A0159,184,B0162
A0160,187,B0165
A0161,188,B0166
A0163,191,B0168
A0165,195,B0171
A0166,197,B0173
A0167,198,B0174
A0170,204,B0178
A0171,205,B0179
A0172,206,B0180
A0173,207,B0181
A0174,208,B0182
A0175,209,B0183
A0176,210,B0184
A0178,213,B0186
A0180,215,B0187
A0181,216,B0188
A0182,217,B0189
A0183,218,B0190
A0184,219,B0191
A0185,220,B0192
A0186,221,B0193
A0188,223,B0194
A0189,224,B0195
A0190,225,B0196
A0191,226,B0197
A0192,227,B0198
A0193,228,B0199
A0194,229,B0200
A0196,231,B0201
A0198,234,B0203
A0199,235,B0204
A0200,236,B0205
A0201,238,B0207
A0202,239,B0208
A0204,241,B0209
A0206,243,B0210
A0207,244,B0211
A0208,245,B0212
A0209,246,B0213
A0210,247,B0214
A0211,249,B0216
A0213,251,B0217
A0214,253,B0219
A0215,254,B0220
A0216,255,B0221
A0217,256,B0222
A0218,258,B0224
A0219,259,B0225
A0220,260,B0226
A0221,261,B0227
A0222,262,B0228
A0223,264,B0230
A0224,266,B0232
A0225,267,B0233
A0226,268,B0234
A0227,269,B0235
A0228,270,B0236
A0229,271,B0237
A0230,272,B0238
A0231,274,B0240
A0232,275,B0241
A0233,276,B0242
A0234,277,B0243
A0235,278,B0244
A0236,279,B0245
A0238,281,B0246
A0239,282,B0247
A0240,284,B0249
A0241,285,B0250
A0242,286,B0251
A0243,287,B0252
A0245,289,B0253
A0246,292,B0256
A0247,293,B0257
A0249,295,B0258
A0250,296,B0259
A0251,297,B0260
A0252,298,B0261
A0254,301,B0263
A0255,304,B0266
A0256,305,B0267
A0257,306,B0268
A0258,307,B0269
A0259,308,B0270
A0261,310,B0271
A0262,311,B0272
A0264,313,B0273
A0265,314,B0274
A0266,315,B0275
A0267,316,B0276
A0269,318,B0277
A0270,320,B0279
A0271,321,B0280
A0272,322,B0281
A0273,323,B0282
A0274,324,B0283
A0275,325,B0284
A0276,327,B0286
A0278,329,B0287
A0281,332,B0288
A0282,333,B0289
A0284,336,B0291
A0285,338,B0293
A0286,339,B0294
A0287,340,B0295
A0288,341,B0296
A0289,342,B0297
A0290,344,B0299
A0291,345,B0300
A0292,346,B0301
A0293,347,B0302
A0294,348,B0303
A0295,349,B0304
A0296,352,B0307
A0297,353,B0308
A0298,354,B0309
A0300,357,B0311
A0301,358,B0312
A0302,359,B0313
A0304,363,B0316
A0305,364,B0317
A0307,367,B0319
A0308,368,B0320
A0309,369,B0321
A0311,371,B0322
A0312,372,B0323
A0313,373,B0324
A0314,374,B0325
A0317,377,B0326
A0318,378,B0327
A0319,379,B0328
A0320,380,B0329
A0321,381,B0330
A0323,383,B0331
A0324,384,B0332
A0325,385,B0333
A0326,386,B0334
A0328,388,B0335
A0329,389,B0336
A0330,390,B0337
A0331,391,B0338
A0332,392,B0339
A0333,395,B0342
A0334,396,B0343
A0336,398,B0344
A0337,400,B0346
A0338,401,B0347
A0340,403,B0348
A0341,404,B0349
A0342,405,B0350
A0343,406,B0351
A0344,407,B0352
A0345,408,B0353
A0346,409,B0354
A0347,410,B0355
A0348,411,B0356
A0349,413,B0358
A0350,414,B0359
A0352,416,B0360
A0353,417,B0361
A0356,421,B0363
A0357,422,B0364
A0358,423,B0365
A0361,430,B0370
A0362,431,B0371
A0363,432,B0372
A0364,433,B0373
A0365,434,B0374
A0366,435,B0375
A0367,436,B0376
A0369,438,B0377
A0370,439,B0378
A0371,441,B0380
A0372,442,B0381
A0373,443,B0382
A0374,445,B0384
A0375,446,B0385
A0376,447,B0386
A0377,448,B0387
A0378,449,B0388
A0379,450,B0389
A0381,453,B0391
A0382,454,B0392
A0383,457,B0395
A0384,458,B0396
A0385,459,B0397
A0386,460,B0398
A0387,461,B0399
A0389,463,B0400
A0391,465,B0401
A0392,466,B0402
A0395,469,B0403
A0396,470,B0404
A0397,471,B0405
A0398,472,B0406
A0399,473,B0407
A0400,474,B0408
A0402,479,B0412
A0403,480,B0413
A0404,481,B0414
A0405,482,B0415
A0407,485,B0417
A0408,487,B0419
A0409,488,B0420
A0410,489,B0421
A0413,492,B0422
A0414,493,B0423
A0415,496,B0426
A0417,498,B0427
A0418,499,B0428
A0420,501,B0429
A0422,503,B0430
A0423,504,B0431
